Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C09E7.4; -0.639543476495,C17E4.11; 0.164765028424,C10B5.1; 1.58099146369
C09G4.4; -0.262073892177,C17E4.3; 0.113146405224,C11D2.4; 0.559621179879
C09G9.2; -0.614846585093,C17E7.12; -0.102688713363,C11H1.3; 0.76614535606
C09H10.10; -1.55194193108,C17G10.9; -0.189597614241,C13B4.1; 2.77889799188
C10C5.1; -0.62492121939,C18E9.10; 0.0528668621199,C13B9.3; 0.587163510435
C10C6.6; -0.260004242239,C18E9.2; 0.0738624928173,C13C4.4; 2.58152553248
C10E2.6; -0.866699182395,C18E9.4; 0.166633273564,C13G5.2; 0.622339256687
C10G11.10; -7.98961036952,C24D10.4; 0.0877507656509,C14A11.9; 2.14110820472
C10G11.7; -0.258748571211,C24F3.2; -0.13360294607,C14A4.11; 0.495157242196
C10H11.8; -7.41002890432,C25A1.12; 0.0615936890493,C14A4.14; 1.06636049852
C13F10.4; -1.23088676604,C25H3.9; -0.0145516770194,C14A4.3; 0.594611064295
C14B1.3; -1.00043435671,C26B2.7; 0.156978272257,C14B1.12; 0.581813331572
C14B9.10; -0.339551365293,C26E6.12; -0.0924356641527,C14B1.2; 0.762944653953
C14C10.5; -1.18199188289,C27A12.2; 0.172379522044,C14B1.9; 1.53086106439
C14C10.6; -1.4997497797,C27D9.1; -0.0297092045549,C14B9.8; 2.41145706476
C14C11.7; -0.761033611459,C27F2.8; 0.0364555644097,C14C10.2; 0.373966756854
C14F11.1; -0.413316923854,C28A5.1; 0.159111225116,C15C6.4; 0.466475891592
C16A3.10; -1.06757824346,C28H8.1; -0.139806305353,C15C8.4; 1.1220684577
C16C10.3; -0.246005967256,C29E4.13; 0.152582292341,C15C8.7; 0.266020775942
C16C2.4; -0.614586066736,C30B5.2; 0.0452683368878,C15H11.8; 0.419823819552
C16C8.16; -1.82870090349,C30B5.4; 0.167404279148,C16A11.4; 0.740536386603
C16D9.6; -6.60515549244,C30H6.8; -0.098223781262,C16A3.2; 2.28327463058
C17D12.1; -1.51030788689,C30H7.2; 0.0804846789434,C16A3.6; 1.12024691294
C17E4.6; -1.10422265669,C31H5.4; 0.127499511243,C16C10.1; 2.27840517705
C17E7.4; -0.208437394238,C32D5.11; -0.00412808725934,C16C8.4; 0.540852908872
C17G10.2; -0.377107851831,C33H5.18; -0.122120695662,C17E4.4; 0.447364643731
C18B12.6; -0.793735982111,C34B2.10; -0.0596496704942,C17E7.9; 0.391852879811
C18D11.3; -0.382143206455,C34C12.2; 0.0147033300298,C17G10.1; 0.407612078158
