Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C13C4.4; -0.396316110852,C08B11.6; -0.0725228379855,C14B1.9; 0.333725444456
C13F10.4; -0.498137050171,C08B6.8; 0.0945213966813,C14B9.10; 1.15663750609
C13F10.5; -0.466371346775,C08C3.4; 0.0592561877074,C14B9.8; 0.969452589147
C13F10.6; -0.917403108088,C08F8.2; -0.110639138044,C14C10.2; 0.794119236752
C14A4.11; -0.245424554719,C08H9.2; 0.0577086143478,C14C10.4; 0.624859491838
C14B1.3; -0.36172675951,C09G4.4; 0.143165464556,C14C11.2; 0.31228935786
C14B1.8; -0.485015436677,C09G9.1; -0.0364994324088,C14C11.7; 0.582437406416
C14B9.2; -1.58736722084,C10C5.1; -0.0262664962842,C15C6.4; 0.37530947979
C15C7.5; -0.259092029828,C10G11.7; 0.114527853381,C15C8.4; 0.252459401246
C15H9.5; -3.39403105677,C11D2.4; 0.0040390939223,C15H11.8; 0.43840225837
C16A3.1; -0.354372381304,C13B9.3; 0.0262601038977,C16A11.2; 0.421155250222
C16A3.2; -0.646128401049,C14B1.6; -0.0948032468485,C16A11.4; 0.299962053111
C16C8.12; -1.34924555034,C14C10.5; -0.138480017718,C16A3.10; 1.14523229768
C16C8.16; -0.646059886003,C14C10.6; 0.0924938224097,C16A3.4; 0.258249060144
C16E9.2; -0.212003723726,C14F11.1; -0.0968608725997,C16A3.5; 0.668694105749
C17D12.1; -0.425695882614,C15B12.6; -0.0010170862168,C16A3.6; 0.564775349029
C17E7.4; -0.201489607293,C15C8.7; 0.0334775434764,C16C10.1; 1.1369707726
C17E7.9; -0.478252067846,C16C10.3; 0.0484874955795,C16C10.2; 0.437963061747
C17G10.1; -0.524065651878,C16C10.4; -0.022773058962,C16C10.8; 0.483661735196
C17G10.2; -0.487042565816,C16C2.4; 0.0255651477551,C16C8.4; 0.571529126482
C17G10.9; -0.369495505573,C16C8.11; 0.0991082116967,C17C3.1; 0.352784184246
C17H11.2; -0.341363722877,C17E4.10; -0.127738492554,C17E4.11; 1.17140316298
C18A3.1; -1.23040787205,C17E4.3; -0.124070729266,C17H12.13; 0.373724680466
C18B12.6; -0.764426926391,C17E4.4; -0.0800457525627,C17H12.2; 0.406785302559
C18E3.2; -0.644534390892,C17E4.6; 0.116424537461,C18A3.2; 0.235260546963
C18E3.3; -0.391231082145,C17E7.12; 0.0834036644989,C18A3.3; 0.46172112737
C23F12.4; -0.956223631697,C18B12.4; 0.0636837922612,C18D11.3; 0.387468416587
C23G10.2; -0.503471533285,C18E3.9; -0.192404003192,C18E3.5; 0.251525133125
C23H3.5; -0.211399183269,C18E9.10; -0.123666134914,C18E9.4; 0.360382478161
C24D10.5; -0.511804787871,C18E9.2; 0.125721525916,C23G10.7; 0.930001953354
C24H10.2; -0.281446222272,C18F10.7; 0.186173882087,C24D10.6; 0.574533736773
C24H12.5; -0.574443102805,C23G10.8; -0.0765877229509,C24F3.2; 0.364676773562
C25F6.1; -0.42598634959,C23H3.3; 0.143504292837,C24G6.8; 0.799356974575
C25G4.3; -0.258526058535,C24D10.4; 0.00280282515031,C24H12.4; 0.362338054916
C25H3.14; -0.336724802192,C25A1.4; -0.105871907966,C25A1.12; 0.249023306963
C25H3.7; -0.88680458695,C25A1.5; 0.120420043775,C25A1.13; 0.885496967535
C27A12.2; -0.41519581933,C25A11.2; 0.117964760877,C25A1.16; 0.388695139512
C27A12.6; -0.676024996384,C25H3.4; 0.021984760568,C25A1.1; 0.382755046269
C27A12.9; -1.51134072039,C27A12.7; -0.0804796720056,C25H3.3; 1.35934348723
C27A7.6; -0.907784592919,C27A7.5; 0.0589453774747,C25H3.9; 0.440435118148
C27D8.4; -0.548111379129,C27B7.2; 0.177679322021,C26B2.7; 0.240320249824
C27F2.10; -0.753938207447,C27B7.5; 0.0336432759313,C26E6.12; 0.20088918187
C28A5.2; -0.57103261703,C27F2.8; 0.111751089879,C26E6.3; 0.242272673787
C28C12.12; -0.337310824991,C27F2.9; 0.0101470649319,C26E6.6; 0.427234801707
C28H8.9; -0.455356970415,C27H6.3; -0.109532416324,C26F1.3; 0.953664091683
C30F12.2; -0.717339074033,C28A5.1; 0.199101073651,C27C12.1; 0.768386784339
C30H6.8; -0.597340701035,C28H8.4; -0.0383427446428,C27C12.3; 0.532143128137
C30H6.9; -0.302488662836,C29A12.1; -0.128517373599,C27C12.4; 0.548613958931
C30H7.2; -0.466186868643,C29E4.13; 0.0441310826033,C27C7.1; 0.550976784094
C32D5.10; -0.282169981885,C29E4.15; 0.0150918147886,C27D6.4; 0.686722474008
C32D5.11; -0.21802460925,C29H12.2; -0.126959865242,C27D9.1; 0.899365722555
C32E8.3; -0.365597353656,C30A5.3; -0.129303718368,C27F2.4; 0.657428684045
C33A11.2; -0.41104808723,C30B5.2; -0.0276672400437,C27F2.7; 1.53698496516
C33A12.3; -0.274811278728,C30B5.4; -0.19176220399,C27H6.8; 0.240323575392
C33A12.7; -0.258501345025,C30F12.4; -0.135211900537,C27H6.9; 0.29669252839
C33F10.4; -0.755668044992,C31C9.2; 0.103608904181,C28H8.1; 0.438953133496
C33H5.17; -0.463155848576,C31E10.5; 0.125258945686,C28H8.3; 0.20691036795
C33H5.18; -0.233166727335,C32E8.11; 0.0228498883219,C29E4.12; 0.309850936794
C34B2.6; -0.266523293465,C32E8.5; 0.140970942752,C29H12.5; 0.202417475876
C34B7.2; -0.203253169515,C32F10.8; -0.105858218895,C30C11.1; 0.511271311693
C34C6.4; -1.31703495966,C34C12.2; -0.0120274907875,C30C11.4; 0.511022789003
C34D4.13; -0.338498320124,C34C12.4; -0.190264570321,C30G12.6; 1.40899844133
C34E10.11; -0.669640923751,C34C12.8; 0.0849591634047,C30H6.7; 0.522185998202
C34G6.5; -0.738233050077,C34D4.4; 0.0607888075985,C31E10.6; 1.4196895462
C35A5.8; -0.517214450523,C35D10.1; 0.0248561431212,C31G12.1; 0.263041846
C35B8.3; -1.29943707047,C35D10.6; -0.153360626333,C31H1.8; 0.213037798017
C35C5.3; -0.724432481388,C36A4.4; -0.024239643752,C31H5.4; 0.218617035366
C35D10.5; -0.682705328874,C36B7.6; 0.0573210188429,C32A3.3; 0.243851324577
C35E7.8; -1.06290356904,C36E8.1; 0.0513852440751,C32D5.3; 1.11170960706
C36F7.2; -0.368990689584,C37A2.8; -0.0772942787456,C32D5.8; 0.436221028525
C37C3.2; -0.329953871583,C37C3.1; 0.188479548346,C33A12.1; 0.988397822333
C37E2.1; -0.348000023341,C37C3.9; -0.185840000425,C33F10.14; 0.251553158121
C37H5.3; -0.574728721425,C37H5.6; -0.00225729107131,C33H5.8; 0.493292798566
C37H5.5; -0.366084807074,C39B5.2; 0.0359872658856,C34B2.10; 0.550529667792
C38C10.2; -0.416118440829,C39E9.12; -0.0819390624681,C34B2.5; 1.00756130325
C41C4.1; -6.13941052774,C41D11.3; 0.00668870059093,C34B2.8; 0.600332806673
C41D11.9; -0.274634149766,C41D11.5; 0.0397985882822,C34B4.2; 0.32734623843
C41H7.4; -0.966640381334,C41G7.3; 0.110035656215,C34C12.5; 0.50764507202
C42C1.13; -0.210166484311,C41G7.9; 0.0643059060336,C34D10.1; 0.289447706208
C42C1.4; -0.408262404791,C42C1.10; -0.0171109248017,C34E10.10; 0.68424392501
C42C1.8; -0.475075902479,C44B7.10; -0.0213021303254,C34E10.8; 0.469047712764
C43H6.3; -0.420597616386,C44C1.2; -0.0810954115955,C34G6.1; 2.16213416507
C43H6.7; -0.692198510146,C44C10.4; -0.0479723011169,C35B1.2; 1.20805218747
C43H8.2; -0.954341112804,C44E4.3; -0.105437123219,C35C5.6; 0.875730230786
C44B7.12; -1.04003217464,C44E4.4; 0.0483908085506,C35D10.10; 0.240506479766
C44B9.3; -1.84702578596,C45G9.2; -0.065929195898,C35D10.13; 0.277588373343
C44E4.5; -0.219373995519,C45H4.14; 0.179724171152,C35D10.7; 0.396447466298
C45G3.5; -0.304463737644,C46C2.7; 0.167303922986,C35E7.5; 0.608905511166
C46C2.2; -0.992436713026,C47A4.1; 0.165493643927,C36B1.11; 0.725975239813
C46F11.4; -0.527521003528,C47B2.2; 0.044282862094,C36B1.14; 0.744238509258
C46F11.6; -1.5878177007,C47D12.2; 0.109073434123,C36C9.1; 0.397978967852
C46H3.2; -1.54012395104,C47E12.2; -0.126498713904,C36E6.1; 1.34801273435
C47D12.8; -0.940382595069,C47G2.3; 0.167108789538,C37A2.7; 0.50612171821
C48B4.10; -0.923399441805,C48B4.6; 0.0664417423141,C37H5.13; 0.398476641412
C48B4.7; -0.927841491589,C48E7.11; 0.115876283185,C38D4.1; 0.356120149906
C48B4.8; -0.578336792633,C48E7.2; 0.119662479414,C38D4.4; 0.255889031395
C48B6.3; -0.934820022018,C49F5.3; -0.184520315664,C39E9.11; 0.260839506262
C49C3.8; -0.247411875488,C49H3.9; -0.020677253551,C41H7.3; 0.256323138252
C49C8.3; -1.9124605806,C50F2.2; 0.0911567238004,C41H7.6; 0.665587905226
C49F5.6; -0.41243010894,C50F7.4; 0.0536069608462,C42C1.11; 0.531340763569
C50B6.3; -0.491344444195,C52A10.3; -0.0231539451658,C43E11.12; 0.320295695108
C50D2.7; -0.810711410595,C52B9.4; 0.120593926,C43E11.9; 1.5374562257
C50D2.9; -1.03329603419,C52E12.1; -0.167163026117,C44B7.1; 0.263102732036
C50E3.12; -1.22845026956,C52E12.4; 0.0292044344987,C44B7.2; 0.477506027238
C50E3.13; -0.340390807061,C53A5.17; -0.0498069716111,C45G9.5; 0.709780807321
C50E3.5; -0.57189053396,C53D5.1; -0.0846843227935,C45G9.7; 0.258681368026
C50F2.3; -0.322547753517,C55A6.9; 0.185255087798,C46A5.5; 0.24892297099
C50F4.14; -0.208999522579,C55B7.11; -0.12938972116,C46A5.6; 0.446053214536
C50F7.6; -1.47701383273,C56A3.4; -0.160558108664,C46F11.3; 0.503468528336
C52B9.8; -1.1814564834,C56A3.6; 0.113491911541,C46F11.5; 0.37065464462
C53A5.16; -1.53634531083,C56C10.7; 0.128297439029,C47E12.3; 0.28299449656
C53B4.4; -0.21363768902,C56C10.9; -0.146938177072,C47E12.7; 0.970523529798
C53D6.4; -0.207072045649,C56G2.15; -0.194371179244,C47E8.4; 0.208598115812
C54C6.6; -0.656937641561,C56G2.1; -0.168298092359,C47F8.1; 0.209077386864
C54G4.7; -0.229442099064,CD4.3; -0.0936647685779,C47G2.4; 0.646841757129
C54G4.9; -0.674777730814,CD4.7; 0.195609419583,C48A7.2; 0.213079908974
C54G6.1; -0.534359150773,D1007.4; -0.109598003717,C48B4.11; 0.258967839749
C55B6.1; -0.589532658822,D1007.8; -0.0397201295351,C48B4.9; 0.270027455585
C55C3.5; -1.48235235184,D1044.6; 0.126835991206,C48B6.10; 0.277428277649
C56A3.8; -0.341263907246,D1054.14; 0.0878682281131,C48B6.2; 1.09014844019
C56C10.11; -0.56387848582,D1054.3; 0.0203640608641,C48B6.9; 0.416610563596
C56E6.2; -0.760149720785,D1081.7; -0.101856746518,C49A9.10; 1.0521092537
