Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C18F10.7; -2.14319597357,F55F8.9; -0.155793102858,C08F8.3; 0.577839160734
C23G10.2; -0.331016344193,F56A11.5; 0.189005894779,C08H9.16; 0.821404082416
C23G10.7; -1.16824522148,F56B3.8; 0.159111928673,C08H9.2; 2.69821595551
C24F3.2; -0.317508231815,H06O01.2; -0.0950940205182,C09D4.4; 3.73453175568
C25A1.1; -1.79959933177,H17B01.4; 0.066256793065,C09G9.1; 1.56296778501
C25F6.1; -1.06665302911,H28O16.1; 0.0494366727632,C09G9.2; 0.586867531851
C25H3.9; -0.458126330225,K03B4.2; 0.182912821715,C10C5.1; 2.301661526
C26F1.3; -2.29497136522,K04G7.11; 0.0658761987461,C10C6.6; 1.84883034172
C27A12.6; -0.675608542459,K07C5.6; 0.0883779317863,C11D2.7; 2.77476169684
C27D6.4; -0.625541954084,K07G5.6; -0.195432101534,C11H1.3; 0.869055710095
C27F2.10; -1.76258924305,K08D12.3; 0.0965083240629,C12D8.1; 1.91389772842
C27H6.3; -0.603451582622,K08F4.3; 0.166691929147,C13B9.3; 0.940392917569
C27H6.9; -0.746573325812,K10C3.2; -0.182447037284,C14A11.9; 2.53241908563
C28C12.12; -1.06953892425,K10C3.4; 0.0836395123529,C14A4.3; 2.49639463725
C28H8.4; -0.770174216954,K10H10.1; -0.0918700243861,C14B1.12; 1.88694584641
C29E4.13; -0.601329850108,M03F8.3; 0.0901433715683,C14B1.8; 5.15788431233
C29H12.2; -2.11694279051,M57.2; 0.126854714982,C14C11.7; 7.37994466457
C30B5.2; -1.15883565155,MTCE.19; -0.0197315288155,C15H11.8; 3.10444405314
C30B5.4; -1.43798560824,R02D3.4; 0.0095156787934,C16A11.10; 2.47462634149
C30F12.4; -1.41458686795,R02F2.1; -0.143713884365,C16A11.4; 3.35010468712
C31E10.7; -4.22970295575,R04F11.3; 0.0743453325531,C16A3.1; 3.54929459893
C32D5.3; -3.07562402339,R07E4.5; 0.084860052882,C16A3.5; 0.837520958691
C32E8.9; -0.52412105914,R12C12.7; 0.063601083834,C16C10.4; 2.30549420604
C33A12.1; -3.62976845582,R166.6; 0.164516840481,C16C2.4; 0.702242741552
C33C12.10; -1.44279488475,R186.7; -0.190168602561,C16E9.2; 3.71422428455
C34B2.10; -1.47721978444,R74.8; -0.00306653568862,C17E7.4; 2.30397820798
C34B2.8; -1.65578188732,T04A8.6; 0.184343338053,C17E7.9; 3.16175490382
C34C12.5; -1.74004314793,T05B9.1; -0.110136268423,C17G10.1; 4.73829666358
C34D4.4; -1.97336756644,T05F1.2; -0.00747823128067,C17G10.2; 0.549999140228
C34G6.5; -0.548312181617,T05H10.6; 0.141442717418,C18A3.3; 3.7893824169
C35A5.8; -1.11960579331,T10B10.3; 0.155338066809,C18B12.4; 0.60799439534
C35D10.13; -0.901722635998,T10B11.2; -0.0353272224743,C18E3.2; 3.06580561355
C35D10.7; -2.46848353599,T12D8.10; 0.182131479648,C18E3.3; 7.40505290316
C36B1.11; -1.43974448374,T12E12.1; -0.185041007437,C18E3.5; 8.33746098033
C36B1.14; -3.22589996493,T13F2.2; 0.139998165266,C18E3.9; 0.241350491455
C36E8.1; -0.668176313627,T14B4.1; 0.0726930894927,C18E9.10; 0.641220209267
C37A2.7; -1.41351371572,T20F5.6; 0.19269264869,C23F12.4; 3.87278159894
C37A2.8; -1.1557247497,T22D1.4; 0.0981895445489,C23G10.8; 0.246023053051
C37H5.5; -4.75070155527,T23G11.4; -0.0850849437585,C23H3.5; 2.53191456279
C39E9.12; -1.20667348407,T23G11.7; 0.153343314552,C24D10.6; 0.619965607759
C41D11.3; -0.783971764861,T23G7.3; -0.0722961370096,C24G6.8; 1.02050567203
C41D11.5; -1.69989047762,T24D1.2; 0.111042168917,C24H12.4; 2.10522084832
C43E11.12; -1.68563254659,T24H7.3; 0.08904155778,C25A1.12; 0.445322404614
C43H6.7; -0.95358740365,T25B9.8; -0.19882411794,C25A1.4; 3.10006381881
C45G3.5; -0.473437446742,T26E3.4; 0.0950035907288,C25A1.5; 1.09760165024
C45G9.2; -1.64780121893,T27E9.2; -0.0388138012293,C25A11.2; 0.560392793215
C45G9.7; -2.21075430893,T27F6.7; -0.0095885113931,C25H3.4; 0.299123078591
C45H4.14; -0.653956005344,W02F12.4; 0.108127690789,C25H3.7; 2.29775150949
C46F11.3; -1.6858799351,W05F2.6; 0.0636456463204,C26E6.3; 5.40614182298
C47D12.8; -2.44052224108,WBGene00219908; 0.0728740576543,C27A12.2; 0.938356327148
C47G2.3; -1.78750628124,Y102E9.2; 0.067665648742,C27A12.7; 1.75950339341
C48B4.11; -0.253623445403,Y111B2A.3; -0.032053366104,C27B7.2; 3.4183093615
C48B4.9; -0.32121921997,Y119D3B.11; -0.0188512964699,C27B7.5; 3.02714599327
C48B6.2; -0.743833641433,Y11D7A.7; -0.0489472031691,C27C12.3; 4.31721679214
C48E7.11; -0.234071664824,Y23H5A.3; -0.0166573970788,C27C12.4; 3.13058271766
C48E7.2; -0.274942143138,Y25C1A.8; 0.064631109318,C27D9.1; 1.3228660972
C49C3.7; -0.373381689412,Y32H12A.2; 0.0620168347901,C27H6.8; 2.30916858428
C49H3.3; -1.79970884303,Y34B4A.2; -0.152707910337,C28A5.1; 1.56247418962
C50B6.3; -2.57270002401,Y37E11AL.3; 0.0937274288739,C28H8.3; 2.06089044357
C50B8.1; -0.71885947209,Y37E3.17; 0.0175061521755,C28H8.9; 3.9115369973
C50D2.5; -2.23819520392,Y38F1A.2; 0.0588714458555,C29A12.1; 0.711000230117
C50F4.6; -1.12293769542,Y39A1A.14; 0.0802564787945,C29E4.12; 1.45708415322
C52E12.1; -1.72856128518,Y39B6A.37; -0.100079551764,C30A5.3; 0.77740079478
C54G6.1; -0.349106915582,Y43F8C.7; -0.174325847809,C30C11.4; 2.72261241859
C55A6.9; -0.91121682573,Y47G6A.18; -0.0506267707622,C30F12.2; 3.28506206886
C55B7.11; -4.1266623893,Y47G6A.9; 0.0741987144002,C30H6.7; 0.293002305815
C56C10.9; -1.18109492525,Y48G1A.2; 0.0941111402589,C30H6.9; 1.86856917992
CD4.7; -2.57907860141,Y4C6A.3; -0.113159175575,C31E10.5; 3.73926050647
D1007.4; -0.854399690297,Y51H7C.7; -0.0734998281744,C31G12.1; 1.02781190177
D1007.8; -0.973675906656,Y54G11A.11; 0.078749312576,C31H1.8; 1.7049596868
D1014.4; -1.94769486219,Y54G2A.18; -0.14499191838,C31H5.4; 4.83628490456
D1044.6; -2.10808664286,Y54G2A.23; 0.185512495931,C32D5.11; 1.37903592765
D1081.7; -0.623849279741,Y57E12AL.6; -0.174529399425,C32E8.11; 3.17641234061
D1081.8; -0.33390559335,Y57G11C.15; -0.0923978021139,C32E8.5; 0.634053154214
D2024.5; -2.16195242647,Y59A8B.6; -0.194687772865,C32F10.8; 2.83274170408
D2030.1; -0.487421532728,Y65B4A.1; -0.168889575128,C33A12.3; 0.766537806833
D2030.3; -0.21622909288,Y69A2AR.3; -0.184236532245,C33F10.4; 0.689118765962
D2030.4; -3.05179878926,Y74C10AL.2; -0.166052927464,C33H5.18; 2.03960644236
D2092.5; -0.472022240644,Y77E11A.7; -0.0616046455418,C33H5.8; 0.879359971187
D2096.8; -0.783968500509,Y87G2A.1; 0.0339009472844,C34B2.5; 2.76320399796
DY3.8; -0.311593513226,Y95D11A.3; 0.0370635237061,C34C12.2; 2.08846999869
E01B7.2; -5.04927346715,Y97E10AR.4; -0.0481324989049,C34C12.8; 1.18554957425
E01G4.3; -2.17897286406,ZC395.10; -0.178496879841,C34D10.1; 0.512180900918
E02H1.6; -0.329874403036,ZK1098.11; 0.0190910371719,C34D4.13; 0.705706796246
EEED8.3; -1.37745154748,ZK1098.1; 0.068936816514,C34E10.11; 3.67526266343
F01D4.5; -1.12802724659,ZK1127.3; 0.00459907525566,C34E10.8; 5.4910875559
F01G4.6; -1.32664186231,ZK1128.1; 0.134425263076,C34G6.1; 2.4290130162
F02E9.10; -2.2241077199,ZK265.6; -0.0668263376964,C35C5.6; 1.53643444106
F02E9.1; -0.616891913047,ZK418.9; 0.120689445178,C35D10.10; 1.33887918721
F02E9.7; -2.04685286931,ZK616.4; -0.189877860381,C35D10.1; 0.683130007924
F07F6.4; -0.843352175925,ZK686.3; -0.0879197575059,C35D10.5; 0.446674208734
F07F6.8; -2.28958416768,aakg-2; -0.0327205494262,C35D10.6; 0.624158364667
F08B4.7; -2.38048426456,abcf-1; 0.134299515764,C36A4.4; 2.31763984821
F08F3.6; -0.424377901567,acl-9; 0.196689755927,C36E6.1; 3.80783733631
F08G5.1; -0.281938285615,adbp-1; 0.0260863138248,C37C3.9; 0.44581559384
F09D1.1; -2.86751168052,agef-1; -0.00703135693023,C37H5.6; 0.850808020971
F09E5.8; -3.96523542208,aka-1; 0.0918093843619,C38C10.2; 2.59160493134
F09F7.3; -2.10143615469,alh-1; -0.0754925294912,C39E9.11; 0.530012234741
F09G2.2; -3.2531124834,ani-2; 0.186082897966,C41G7.3; 0.465319293268
F10B5.2; -3.46495370653,apx-1; 0.145915118153,C41G7.9; 0.49258921554
F10C5.2; -1.29219922541,arf-3; 0.0920587121067,C42C1.10; 1.72941452292
F10E7.5; -1.07320831838,ari-1; -0.090551753044,C42C1.8; 0.956608250508
F10E9.11; -2.84606277348,asfl-1; 0.104182650682,C44B9.3; 6.66960581633
F10E9.5; -0.807355297261,atp-2; -0.141685018342,C44E4.1; 3.62889689521
F10G2.4; -2.26073661127,baf-1; 0.102188158257,C44E4.4; 0.629666700753
F11A10.5; -0.674814364602,bub-3; 0.154475989808,C44E4.5; 4.38478796088
F11C1.7; -0.691795107856,cchl-1; -0.185858480835,C45G9.5; 2.51386024277
F13D12.5; -3.60041670813,cct-3; 0.0668585516046,C46A5.5; 0.250313208534
F13G3.10; -1.66449065493,cct-6; 0.186839180915,C46A5.6; 2.87036430635
F13G3.7; -1.32027961051,cdc-14; -0.194099797144,C46C2.2; 2.90497437134
F13H8.2; -0.435183299065,cdd-2; 0.0264097491003,C47A4.1; 3.10260252899
F15B10.1; -3.39766543065,cgh-1; -0.0375402070458,C47B2.2; 3.14422855951
