Left Cell Higher; logFC,Same Level; logFC,Right Cell Higher; logFC, ,Criteria:, p = N/A, medRPKM = 25.0, logFC Threshold = 0.2
C14A4.3; -0.418616030259,F13B12.6; 0.0812449934083,C08C3.4; 1.81775678524
C14B1.8; -0.934831015085,F15A4.10; 0.187902497212,C08H9.2; 0.602420385838
C14C10.5; -0.89314060294,F16D3.4; -0.0434728409832,C09B7.2; 1.32099688537
C15C8.7; -1.34765861322,F21D5.5; -0.163913805375,C09G4.4; 0.771946680021
C16A3.2; -4.56794343004,F21D5.6; -0.0454905154606,C09G9.1; 2.25599839111
C16A3.4; -0.721549373732,F23H11.3; -0.180210587905,C09G9.2; 0.891005690797
C16A3.5; -0.59030518944,F25B5.6; -0.0370004268686,C10C5.1; 2.69201787989
C16A3.6; -1.84448003355,F25H2.4; -0.0839504904659,C10C6.6; 1.44471909738
C16C8.11; -3.6439910895,F25H5.6; 0.0400177700055,C10E2.6; 0.628083000326
C16C8.16; -4.88184154801,F25H8.1; 0.10534943866,C11D2.7; 0.343279494281
C17E4.4; -0.249582365412,F26G5.1; 0.0189544308833,C13F10.5; 1.00092430746
C17E7.12; -0.676578679933,F28D1.1; -0.0527838401422,C13F10.6; 0.266770624393
C17G10.1; -0.566992608428,F28F8.5; 0.0900132794423,C13G5.2; 2.15316038765
C17G10.9; -0.421089873667,F29B9.11; 0.191776457973,C14A11.9; 2.07752070827
C18A3.3; -0.577791450156,F29G9.2; -0.0383850008656,C14B1.2; 2.15666251871
C18B12.4; -1.09249242945,F30A10.3; 0.0251215620299,C14B1.6; 1.3427564094
C18B12.6; -0.405236704665,F30F8.1; 0.0862784849386,C14B1.9; 1.98734795278
C18E3.2; -0.340930803227,F32A11.1; -0.180091084146,C14F11.1; 0.832192374366
C18E9.10; -0.371869317766,F32E10.6; -0.0652570124306,C15C6.4; 2.44194685316
C23G10.8; -1.95154710898,F33A8.4; 0.0344394321663,C16A11.2; 3.06738192036
C25A1.4; -0.50170682003,F33D4.4; -0.142062169557,C16A11.4; 0.79852167022
C25H3.4; -0.516610064285,F33D4.5; 0.160602675818,C16A3.10; 2.22853737517
C25H3.7; -0.591018179345,F33G12.2; -0.0707412358053,C16C10.2; 1.05230846792
C26E6.12; -6.13737106528,F33H2.3; 0.0490802996588,C16C10.4; 0.279318715557
C27A12.2; -0.226591892071,F35G12.4; 0.12594471217,C16C10.8; 0.43826247545
C27A12.6; -0.393714275511,F36A2.13; -0.0231093174827,C16C2.4; 0.954560306184
C27B7.2; -0.943470890171,F36D3.1; -0.161559417386,C16C8.4; 2.53353605388
C27B7.5; -1.29579155985,F37B4.10; 0.0958089375353,C16E9.2; 0.495937428321
C27F2.9; -2.06519725663,F38E1.9; -0.133840240169,C17C3.1; 2.05720499432
C27H6.3; -1.31963501955,F42A8.3; -0.185379118526,C17D12.1; 1.967351929
C27H6.8; -0.343490048848,F42G8.10; -0.0439554759034,C17E7.4; 2.10345980996
C28A5.1; -1.74125137538,F43E2.7; 0.0746012569304,C17E7.9; 1.01105698349
C28H8.4; -0.507524597512,F43G9.13; 0.0987812508227,C17G10.2; 0.90044560174
C29E4.15; -1.91387589826,F44E5.1; -0.128501860137,C17H11.2; 0.648365552433
C29H12.2; -1.08350982407,F44G4.1; -0.109789753074,C17H12.13; 0.973187376434
C30B5.2; -1.66868378586,F45F2.11; 0.0122434605967,C17H12.2; 1.85664258707
C30F12.4; -0.347378483116,F45H10.3; -0.147427094484,C18E9.4; 1.47706286274
C30G12.6; -0.22791178798,F45H11.3; 0.0248116173301,C18F10.7; 0.760026163562
C31C9.2; -0.433087044381,F46B6.5; -0.141636480303,C23G10.7; 1.79886365285
C31E10.5; -3.63191355965,F48A11.4; -0.0441301407521,C23H3.5; 0.483918162419
C31H5.4; -1.05298901206,F48E8.3; -0.105968267696,C24D10.4; 1.15870194884
C32D5.8; -2.93716185217,F48E8.6; 0.166412043566,C24D10.6; 0.624609243013
C32E8.11; -1.68632278416,F48F7.6; 0.150631105071,C24G6.8; 1.07074731544
C32E8.3; -0.507403079564,F49C12.11; -0.00468347193154,C24H12.4; 4.6029899548
C33A12.7; -0.766197261775,F53B7.3; -0.142597532784,C24H12.5; 0.803508279246
C33F10.14; -2.70142725997,F53C11.4; 0.0816329049412,C25A1.12; 1.08672378524
C33H5.18; -0.516663070715,F53F4.10; -0.0423978118281,C25A1.13; 2.06870237689
C34B2.10; -0.258730495275,F53F4.14; -0.194329058643,C25A1.16; 0.802518938192
C34B2.8; -0.689326046465,F54A3.5; -0.1486475621,C25A1.1; 1.61928035433
C34B7.2; -0.252132030397,F54D5.5; 0.00389956936672,C25A1.5; 0.666999401444
C34C12.4; -0.845837308108,F55A11.4; -0.123470866869,C25F6.1; 3.42575158775
C34C12.5; -0.367393519485,F58F12.1; -0.0788944483999,C25H3.9; 0.559635820524
C34E10.11; -0.518881528816,F58H1.3; -0.0217102821969,C26E6.3; 7.43652069478
C35A5.8; -0.935397404635,F59A3.4; 0.0499902790671,C26E6.6; 1.7713517925
C35C5.3; -0.71934737671,F59E12.11; -0.140595593588,C26F1.3; 0.765995850785
C35D10.10; -0.768613970959,K03B4.2; -0.0777200060807,C27A7.6; 1.66804445005
C35D10.13; -0.419602300696,K07A1.15; -0.100242673419,C27C12.1; 0.827531564088
C35D10.7; -1.00158046133,K07A12.1; 0.063103899147,C27D6.4; 1.76399903537
C35E7.5; -5.90875087826,K07B1.4; -0.094095585431,C27D8.4; 0.443340845008
